const,x1,x3,x4,x5,x6,x8,x9,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68
1.0,0.0,5.0,5.0,68250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,8.0,68250.0,25.0,203401.0,902.0,3608.0,30780750.0,7064464.0,25.0,40.0,78320.0,125.0,25.0,16.0,136500.0,31328.0,64.0,546000.0,125312.0,200.0,4658062500.0,1069068000.0,245360896.0,391600.0,625.0
1.0,0.0,7.0,5.0,59703.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,6.0,59703.0,49.0,277729.0,1054.0,3162.0,31463481.0,6327162.0,49.0,42.0,84042.0,343.0,25.0,12.0,119406.0,24012.0,36.0,358218.0,72036.0,294.0,3564448209.0,716794218.0,144144036.0,588294.0,2401.0
1.0,0.0,4.0,5.0,40860.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61504.0,248.0,1240.0,10133280.0,2422960.0,16.0,20.0,39080.0,64.0,25.0,5.0,40860.0,9770.0,25.0,204300.0,48850.0,80.0,1669539600.0,399202200.0,95452900.0,156320.0,256.0
1.0,0.0,5.0,5.0,34755.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69696.0,264.0,1320.0,9175320.0,2618880.0,25.0,25.0,49600.0,125.0,25.0,5.0,34755.0,9920.0,25.0,173775.0,49600.0,125.0,1207910025.0,344769600.0,98406400.0,248000.0,625.0
1.0,0.0,6.0,5.0,67860.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,5.0,67860.0,36.0,203401.0,902.0,2255.0,30604860.0,4406270.0,36.0,30.0,58620.0,216.0,25.0,10.0,135720.0,19540.0,25.0,339300.0,48850.0,180.0,4604979600.0,662992200.0,95452900.0,351720.0,1296.0
1.0,0.0,5.0,7.0,36950.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67600.0,260.0,1560.0,9607000.0,3049800.0,25.0,30.0,58650.0,125.0,49.0,6.0,36950.0,11730.0,36.0,221700.0,70380.0,150.0,1365302500.0,433423500.0,137592900.0,293250.0,625.0
1.0,0.0,7.0,5.0,52500.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,800.0,2400.0,21000000.0,4809600.0,49.0,42.0,84168.0,343.0,25.0,12.0,105000.0,24048.0,36.0,315000.0,72144.0,294.0,2756250000.0,631260000.0,144576576.0,589176.0,2401.0
1.0,0.0,8.0,5.0,44696.0,64.0,5.0,10040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,2.0,5.0,44696.0,64.0,232324.0,964.0,2410.0,21543472.0,4839280.0,64.0,40.0,80320.0,512.0,25.0,10.0,89392.0,20080.0,25.0,223480.0,50200.0,320.0,1997732416.0,448747840.0,100801600.0,642560.0,4096.0
1.0,0.0,10.0,5.0,124740.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.0,10.0,9.0,18063.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,3.0,9.0,124740.0,100.0,715716.0,2538.0,7614.0,105530040.0,15281298.0,100.0,90.0,180630.0,1000.0,25.0,27.0,374220.0,54189.0,81.0,1122660.0,162567.0,900.0,15560067600.0,2253178620.0,326271969.0,1806300.0,10000.0
1.0,0.0,5.0,4.0,31200.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57600.0,240.0,1680.0,7488000.0,3252480.0,25.0,35.0,67760.0,125.0,16.0,7.0,31200.0,13552.0,49.0,218400.0,94864.0,175.0,973440000.0,422822400.0,183656704.0,338800.0,625.0
1.0,0.0,6.0,7.0,21600.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46656.0,216.0,1512.0,4665600.0,2887920.0,36.0,42.0,80220.0,216.0,49.0,7.0,21600.0,13370.0,49.0,151200.0,93590.0,252.0,466560000.0,288792000.0,178756900.0,481320.0,1296.0
1.0,1.0,8.0,5.0,121104.0,64.0,0.0,0.0,1.0,0.0,810.0,8.0,5.0,9.0,17955.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,9.0,121104.0,64.0,656100.0,2430.0,7290.0,98094240.0,14543550.0,64.0,72.0,143640.0,512.0,25.0,27.0,363312.0,53865.0,81.0,1089936.0,161595.0,576.0,14666178816.0,2174422320.0,322382025.0,1149120.0,4096.0
1.0,0.0,6.0,7.0,75276.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,2.0,7.0,75276.0,36.0,218089.0,934.0,3269.0,35153892.0,6475889.0,36.0,42.0,83202.0,216.0,49.0,14.0,150552.0,27734.0,49.0,526932.0,97069.0,252.0,5666476176.0,1043852292.0,192293689.0,499212.0,1296.0
1.0,0.0,7.0,8.0,42840.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331776.0,1152.0,2880.0,24675840.0,5555520.0,49.0,35.0,67515.0,343.0,64.0,10.0,85680.0,19290.0,25.0,214200.0,48225.0,245.0,1835265600.0,413191800.0,93026025.0,472605.0,2401.0
1.0,0.0,7.0,5.0,75334.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,9.0,75334.0,49.0,240100.0,980.0,4410.0,36913660.0,8815590.0,49.0,63.0,125937.0,343.0,25.0,18.0,150668.0,35982.0,81.0,678006.0,161919.0,441.0,5675211556.0,1355333994.0,323676081.0,881559.0,2401.0
1.0,0.0,5.0,6.0,61215.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,7.0,61215.0,25.0,237169.0,974.0,3409.0,29811705.0,6719139.0,25.0,35.0,68985.0,125.0,36.0,14.0,122430.0,27594.0,49.0,428505.0,96579.0,175.0,3747276225.0,844583355.0,190357209.0,344925.0,625.0
1.0,0.0,5.0,6.0,56705.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,5.0,56705.0,25.0,278784.0,1056.0,2640.0,29940240.0,5166480.0,25.0,25.0,48925.0,125.0,36.0,10.0,113410.0,19570.0,25.0,283525.0,48925.0,125.0,3215457025.0,554858425.0,95746225.0,244625.0,625.0
1.0,0.0,6.0,5.0,75840.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329476.0,1148.0,4592.0,43532160.0,9073792.0,36.0,48.0,94848.0,216.0,25.0,16.0,151680.0,31616.0,64.0,606720.0,126464.0,288.0,5751705600.0,1198878720.0,249892864.0,569088.0,1296.0
1.0,0.0,7.0,5.0,69629.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247009.0,994.0,2982.0,34605613.0,5934180.0,49.0,42.0,83580.0,343.0,25.0,12.0,139258.0,23880.0,36.0,417774.0,71640.0,294.0,4848197641.0,831370260.0,142563600.0,585060.0,2401.0
1.0,0.0,5.0,5.0,182500.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152100.0,780.0,2730.0,71175000.0,5361720.0,25.0,35.0,68740.0,125.0,25.0,14.0,365000.0,27496.0,49.0,1277500.0,96236.0,175.0,33306250000.0,2509010000.0,189007504.0,343700.0,625.0
1.0,0.0,8.0,6.0,126920.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,8.0,126920.0,64.0,385641.0,1242.0,4968.0,78817320.0,9786960.0,64.0,64.0,126080.0,512.0,36.0,16.0,253840.0,31520.0,64.0,1015360.0,126080.0,512.0,16108686400.0,2000259200.0,248377600.0,1008640.0,4096.0
1.0,0.0,6.0,5.0,110700.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,7.0,110700.0,36.0,355216.0,1192.0,4172.0,65977200.0,8197980.0,36.0,42.0,82530.0,216.0,25.0,14.0,221400.0,27510.0,49.0,774900.0,96285.0,252.0,12254490000.0,1522678500.0,189200025.0,495180.0,1296.0
1.0,0.0,9.0,5.0,118926.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,3.0,10.0,118926.0,81.0,556516.0,2238.0,7460.0,88718796.0,14979680.0,81.0,90.0,180720.0,729.0,25.0,30.0,356778.0,60240.0,100.0,1189260.0,200800.0,810.0,14143393476.0,2388034080.0,403206400.0,1626480.0,6561.0
1.0,0.0,5.0,5.0,39000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82944.0,288.0,1440.0,11232000.0,2828160.0,25.0,25.0,49100.0,125.0,25.0,5.0,39000.0,9820.0,25.0,195000.0,49100.0,125.0,1521000000.0,382980000.0,96432400.0,245500.0,625.0
1.0,0.0,8.0,5.0,76432.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,2.0,8.0,76432.0,64.0,221841.0,942.0,3768.0,35999472.0,7509624.0,64.0,64.0,127552.0,512.0,25.0,16.0,152864.0,31888.0,64.0,611456.0,127552.0,512.0,5841850624.0,1218631808.0,254211136.0,1020416.0,4096.0
1.0,0.0,4.0,4.0,48720.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78400.0,280.0,1400.0,13641600.0,2717400.0,16.0,20.0,38820.0,64.0,16.0,5.0,48720.0,9705.0,25.0,243600.0,48525.0,80.0,2373638400.0,472827600.0,94187025.0,155280.0,256.0
1.0,0.0,7.0,5.0,63700.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328329.0,1146.0,3438.0,36500100.0,6879438.0,49.0,42.0,84042.0,343.0,25.0,12.0,127400.0,24012.0,36.0,382200.0,72036.0,294.0,4057690000.0,764782200.0,144144036.0,588294.0,2401.0
1.0,0.0,5.0,7.0,50035.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97344.0,312.0,1560.0,15610920.0,3056040.0,25.0,25.0,48975.0,125.0,49.0,5.0,50035.0,9795.0,25.0,250175.0,48975.0,125.0,2503501225.0,490092825.0,95942025.0,244875.0,625.0
1.0,0.0,8.0,5.0,113528.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185761.0,862.0,3879.0,48930568.0,7765758.0,64.0,72.0,144144.0,512.0,25.0,18.0,227056.0,36036.0,81.0,1021752.0,162162.0,576.0,12888606784.0,2045547504.0,324648324.0,1153152.0,4096.0
1.0,0.0,8.0,5.0,91544.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,6.0,14.0,183088.0,128.0,774400.0,2640.0,6160.0,80558720.0,12350800.0,64.0,56.0,112280.0,512.0,25.0,21.0,274632.0,42105.0,49.0,640808.0,98245.0,448.0,8380303936.0,1284820040.0,196981225.0,898240.0,4096.0
1.0,0.0,5.0,7.0,36000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,2.0,8.0,72000.0,50.0,57600.0,240.0,960.0,8640000.0,1862400.0,25.0,20.0,38800.0,125.0,49.0,4.0,36000.0,7760.0,16.0,144000.0,31040.0,100.0,1296000000.0,279360000.0,60217600.0,194000.0,625.0
1.0,0.0,4.0,7.0,34848.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147456.0,384.0,2688.0,13381632.0,5107200.0,16.0,28.0,53200.0,64.0,49.0,7.0,34848.0,13300.0,49.0,243936.0,93100.0,112.0,1214383104.0,463478400.0,176890000.0,212800.0,256.0
1.0,0.0,5.0,5.0,42000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82944.0,288.0,1440.0,12096000.0,2833920.0,25.0,25.0,49200.0,125.0,25.0,5.0,42000.0,9840.0,25.0,210000.0,49200.0,125.0,1764000000.0,413280000.0,96825600.0,246000.0,625.0
1.0,0.0,6.0,5.0,78750.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,7.0,78750.0,36.0,258064.0,1016.0,3556.0,40005000.0,7101332.0,36.0,42.0,83874.0,216.0,25.0,14.0,157500.0,27958.0,49.0,551250.0,97853.0,252.0,6201562500.0,1100846250.0,195412441.0,503244.0,1296.0
1.0,0.0,6.0,5.0,48000.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,8.0,48000.0,36.0,185761.0,862.0,3448.0,20688000.0,6878760.0,36.0,48.0,95760.0,216.0,25.0,16.0,96000.0,31920.0,64.0,384000.0,127680.0,288.0,2304000000.0,766080000.0,254721600.0,574560.0,1296.0
1.0,0.0,9.0,5.0,107307.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492804.0,1404.0,4914.0,75329514.0,9862398.0,81.0,63.0,126441.0,729.0,25.0,14.0,214614.0,28098.0,49.0,751149.0,98343.0,567.0,11514792249.0,1507556043.0,197374401.0,1137969.0,6561.0
1.0,0.0,7.0,5.0,44597.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,7.0,6.0,12054.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,6.0,44597.0,49.0,234256.0,968.0,2904.0,21584948.0,5834136.0,49.0,42.0,84378.0,343.0,25.0,12.0,89194.0,24108.0,36.0,267582.0,72324.0,294.0,1988892409.0,537572238.0,145298916.0,590646.0,2401.0
1.0,0.0,5.0,6.0,62685.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,6.0,62685.0,25.0,250000.0,1000.0,3000.0,31342500.0,5913000.0,25.0,30.0,59130.0,125.0,36.0,12.0,125370.0,23652.0,36.0,376110.0,70956.0,150.0,3929409225.0,741312810.0,139854276.0,295650.0,625.0
